full_name,stars,forks,language,description
"codecrafters-io/build-your-own-x",531928,50307,"Markdown","Master programming by recreating your favorite technologies from scratch."
"sindresorhus/awesome",489462,36089,"","😎 Awesome lists about all kinds of interesting topics"
"freeCodeCamp/freeCodeCamp",452906,45698,"TypeScript","freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc"
"public-apis/public-apis",452685,49851,"Python","A collective list of free APIs"
"EbookFoundation/free-programming-books",393096,66571,"Python",":books: Freely available programming books"
"openclaw/openclaw",384267,80734,"TypeScript","Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 "
"nilbuild/developer-roadmap",362806,44679,"TypeScript","Interactive roadmaps, guides and other educational content to help developers grow in their careers."
"donnemartin/system-design-primer",359319,57417,"Python","Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc"
"jwasham/coding-interview-university",357214,84401,"","A complete computer science study plan to become a software engineer."
"vinta/awesome-python",310568,28384,"Python","An opinionated list of Python frameworks, libraries, tools, and resources"
"awesome-selfhosted/awesome-selfhosted",308577,14465,"","A list of Free Software network services and web applications which can be hosted on your own server"
"996icu/996.ICU",276497,20782,"","Repo for counting stars and contributing. Press F to pay respect to glorious developers."
"practical-tutorials/project-based-learning",275390,35486,"Python","Curated list of project-based tutorials"
"obra/superpowers",261779,23377,"Shell","An agentic skills framework & software development methodology that works."
"react/react",246736,51166,"JavaScript","The library for web and native user interfaces."
"torvalds/linux",240692,63532,"C","Linux kernel source tree"
"trimstray/the-book-of-secret-knowledge",235351,13987,"","A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and m"
"affaan-m/ECC",233772,35637,"JavaScript","The agent harness performance optimization system. Skills, instincts, memory, security, and research"
"TheAlgorithms/Python",223190,50906,"Python","All Algorithms implemented in Python"
"NousResearch/hermes-agent",221099,42184,"Python","The agent that grows with you"
"vuejs/vue",210129,33714,"TypeScript","This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core"
"ossu/computer-science",207306,25696,"HTML","🎓 Path to a free self-taught education in Computer Science!"
"n8n-io/n8n",198157,59656,"TypeScript","Fair-code workflow automation platform with native AI capabilities. Combine visual building with cus"
"multica-ai/andrej-karpathy-skills",196674,20244,"","A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations"
"tensorflow/tensorflow",196560,75603,"C++","An Open Source Machine Learning Framework for Everyone"
"trekhleb/javascript-algorithms",196334,31046,"JavaScript","📝 Algorithms and data structures implemented in JavaScript with explanations and links to further r"
"ultraworkers/claw-code",194930,109472,"Rust","An agent-managed museum exhibit, built in Rust with Gajae-Code / LazyCodex — developed and maintaine"
"mattpocock/skills",190305,16349,"Shell","Skills for Real Engineers. Straight from my .agents directory."
"anomalyco/opencode",190063,24103,"TypeScript","The open source coding agent."
"DigitalPlatDev/FreeDomain",188867,4005,"","DigitalPlat FreeDomain: Free Domain For Everyone"
